Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (CAD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Operating Temperature,Features,Ratings,Applications,Failure Rate,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Lead Style
http://www.kemet.com/docfinder?Partnumber=C0603C103K5RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-1091-1-ND,C0603C103K5RACTU,KEMET,CAP CER 10000PF 50V X7R 0603,2725330,0,0.15,0,1,Cut Tape (CT),C,Active,10000pF,10%,50V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C104K4RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-1096-1-ND,C0603C104K4RACTU,KEMET,CAP CER 0.1UF 16V X7R 0603,3043647,0,0.15,0,1,Cut Tape (CT),C,Active,0.1uF,10%,16V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C104K5RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-5089-1-ND,C0603C104K5RACTU,KEMET,CAP CER 0.1UF 50V X7R 0603,2490477,0,0.15,0,1,Cut Tape (CT),C,Active,0.1uF,10%,50V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C102K5RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-1082-1-ND,C0603C102K5RACTU,KEMET,CAP CER 1000PF 50V X7R 0603,620710,0,0.15,0,1,Cut Tape (CT),C,Active,1000pF,10%,50V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C104K8RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-1095-1-ND,C0603C104K8RACTU,KEMET,CAP CER 0.1UF 10V X7R 0603,1006180,0,0.15,0,1,Cut Tape (CT),C,Active,0.1uF,10%,10V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C104M5RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-7845-1-ND,C0603C104M5RACTU,KEMET,CAP CER 0.1UF 50V X7R 0603,2571880,0,0.15,0,1,Cut Tape (CT),C,Active,0.1uF,20%,50V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C104K3RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-1281-1-ND,C0603C104K3RACTU,KEMET,CAP CER 0.1UF 25V X7R 0603,2398194,0,0.15,0,1,Cut Tape (CT),C,Active,0.1uF,10%,25V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C101J5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-1061-1-ND,C0603C101J5GACTU,KEMET,CAP CER 100PF 50V C0G/NP0 0603,1069449,0,0.15,0,1,Cut Tape (CT),C,Active,100pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C103J5RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-1092-1-ND,C0603C103J5RACTU,KEMET,CAP CER 10000PF 50V X7R 0603,935465,0,0.15,0,1,Cut Tape (CT),C,Active,10000pF,5%,50V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C102J5GACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-3293-1-ND,C0603C102J5GACTU,KEMET,CAP CER 1000PF 50V C0G/NP0 0603,146450,0,0.15,0,1,Cut Tape (CT),C,Active,1000pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,Low ESL,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C105K4PACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-5090-1-ND,C0603C105K4PACTU,KEMET,CAP CER 1UF 16V X5R 0603,524721,0,0.16,0,1,Cut Tape (CT),C,Active,1uF,10%,16V,X5R,-55°C ~ 85°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C104J4RACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-1097-1-ND,C0603C104J4RACTU,KEMET,CAP CER 0.1UF 16V X7R 0603,1218169,0,0.18,0,1,Cut Tape (CT),C,Active,0.1uF,5%,16V,X7R,-55°C ~ 125°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.034"" (0.87mm)",-,-
http://www.kemet.com/docfinder?Partnumber=C0603C475K9PACTU,//media.digikey.com/Renders/Kemet%20Renders/Kemet%200603.jpg,399-3482-1-ND,C0603C475K9PACTU,KEMET,CAP CER 4.7UF 6.3V X5R 0603,120420,0,0.21,0,1,Cut Tape (CT),C,Active,4.7uF,10%,6.3V,X5R,-55°C ~ 85°C,-,-,General Purpose,-,"Surface Mount, MLCC",0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-
