Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (CAD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Resistance (Ohms),Tolerance,Power (Watts),Composition,Features,Temperature Coefficient,Operating Temperature,Package / Case,Supplier Device Package,Size / Dimension,Height - Seated (Max),Number of Terminations,Failure Rate
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg,P10.0HCT-ND,ERJ-3EKF10R0V,Panasonic Electronic Components,RES SMD 10 OHM 1% 1/10W 0603,0,0,0.16,0,1,Cut Tape (CT),ERJ,Active,10,ñ1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,ñ100ppm/øC,-55øC ~ 155øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,-
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg,P10.2HCT-ND,ERJ-3EKF10R2V,Panasonic Electronic Components,RES SMD 10.2 OHM 1% 1/10W 0603,32323,0,0.16,0,1,Cut Tape (CT),ERJ,Active,10.2,ñ1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,ñ100ppm/øC,-55øC ~ 155øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,-
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg,P10.5HCT-ND,ERJ-3EKF10R5V,Panasonic Electronic Components,RES SMD 10.5 OHM 1% 1/10W 0603,54073,0,0.16,0,1,Cut Tape (CT),ERJ,Active,10.5,ñ1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,ñ100ppm/øC,-55øC ~ 155øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,-
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg,P10.7HCT-ND,ERJ-3EKF10R7V,Panasonic Electronic Components,RES SMD 10.7 OHM 1% 1/10W 0603,3865,0,0.16,0,1,Cut Tape (CT),ERJ,Active,10.7,ñ1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,ñ100ppm/øC,-55øC ~ 155øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,-
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg,P11.0HCT-ND,ERJ-3EKF11R0V,Panasonic Electronic Components,RES SMD 11 OHM 1% 1/10W 0603,52390,0,0.16,0,1,Cut Tape (CT),ERJ,Active,11,ñ1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,ñ100ppm/øC,-55øC ~ 155øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,-
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg,P11.3HCT-ND,ERJ-3EKF11R3V,Panasonic Electronic Components,RES SMD 11.3 OHM 1% 1/10W 0603,173130,0,0.16,0,1,Cut Tape (CT),ERJ,Active,11.3,ñ1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,ñ100ppm/øC,-55øC ~ 155øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,-
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg,P11.5HCT-ND,ERJ-3EKF11R5V,Panasonic Electronic Components,RES SMD 11.5 OHM 1% 1/10W 0603,87121,0,0.16,0,1,Cut Tape (CT),ERJ,Active,11.5,ñ1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,ñ100ppm/øC,-55øC ~ 155øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,-
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg,P11.8HCT-ND,ERJ-3EKF11R8V,Panasonic Electronic Components,RES SMD 11.8 OHM 1% 1/10W 0603,61204,0,0.16,0,1,Cut Tape (CT),ERJ,Active,11.8,ñ1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,ñ100ppm/øC,-55øC ~ 155øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,-
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg,P12.0HCT-ND,ERJ-3EKF12R0V,Panasonic Electronic Components,RES SMD 12 OHM 1% 1/10W 0603,89869,0,0.16,0,1,Cut Tape (CT),ERJ,Active,12,ñ1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,ñ100ppm/øC,-55øC ~ 155øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,-
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg,P12.1HCT-ND,ERJ-3EKF12R1V,Panasonic Electronic Components,RES SMD 12.1 OHM 1% 1/10W 0603,105186,0,0.16,0,1,Cut Tape (CT),ERJ,Active,12.1,ñ1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,ñ100ppm/øC,-55øC ~ 155øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,-
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg,P12.4HCT-ND,ERJ-3EKF12R4V,Panasonic Electronic Components,RES SMD 12.4 OHM 1% 1/10W 0603,46588,0,0.16,0,1,Cut Tape (CT),ERJ,Active,12.4,ñ1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,ñ100ppm/øC,-55øC ~ 155øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,-
